"Index","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2012-01-03","2012-01-03",14.6214294433594,14.7321434020996,14.6071434020996,14.686785697937,302220800,12.3591833114624
"2012-01-04","2012-01-04",14.6428565979004,14.8100004196167,14.6171426773071,14.7657136917114,260022000,12.4256029129028
"2012-01-05","2012-01-05",14.8196430206299,14.9482135772705,14.7382135391235,14.9296426773071,271269600,12.5635547637939
"2012-01-06","2012-01-06",14.9917860031128,15.0982141494751,14.9721431732178,15.08571434021,318292800,12.6948871612549
"2012-01-09","2012-01-09",15.1964292526245,15.2767858505249,15.0482139587402,15.061785697937,394024400,12.6747493743896
"2012-01-10","2012-01-10",15.2110710144043,15.2142858505249,15.0535707473755,15.1157140731812,258196400,12.7201356887817
"2012-01-11","2012-01-11",15.0957136154175,15.10178565979,14.9753570556641,15.0910711288452,215084800,12.6993951797485
"2012-01-12","2012-01-12",15.081428527832,15.1035709381104,14.9553565979004,15.0496425628662,212587200,12.6645317077637
"2012-01-13","2012-01-13",14.9892864227295,15.0160713195801,14.9521427154541,14.9932136535645,226021600,12.6170473098755
"2012-01-17","2012-01-17",15.1499996185303,15.2139291763306,15.1057138442993,15.167857170105,242897200,12.7640132904053
"2012-01-18","2012-01-18",15.248571395874,15.3382139205933,15.2250003814697,15.3253574371338,276791200,12.8965520858765
"2012-01-19","2012-01-19",15.3625001907349,15.4060707092285,15.2325000762939,15.2767858505249,261738400,12.8556785583496
"2012-01-20","2012-01-20",15.2674999237061,15.2678565979004,14.9910707473755,15.0107135772705,413974400,12.6317739486694
"2012-01-23","2012-01-23",15.0953569412231,15.3017864227295,15.082142829895,15.2646427154541,306062400,12.8454608917236
"2012-01-24","2012-01-24",15.1821432113647,15.1821432113647,14.9839286804199,15.0146427154541,547638000,12.6350793838501
"2012-01-25","2012-01-25",16.2299995422363,16.2303562164307,15.8474998474121,15.9521427154541,958314000,13.4240036010742
"2012-01-26","2012-01-26",16.0128574371338,16.0282135009766,15.8264293670654,15.8796434402466,323985200,13.3629951477051
"2012-01-27","2012-01-27",15.8692855834961,16.0171432495117,15.8489294052124,15.9742860794067,299709200,13.4426336288452
"2012-01-30","2012-01-30",15.9182138442993,16.21071434021,15.9067859649658,16.1789283752441,379341200,13.6148471832275
"2012-01-31","2012-01-31",16.2710704803467,16.3657131195068,16.1810703277588,16.3028564453125,391683600,13.7191362380981
"2012-02-01","2012-02-01",16.3717861175537,16.3924999237061,16.2696437835693,16.2924995422363,270046000,13.7104167938232
"2012-02-02","2012-02-02",16.2821426391602,16.3274993896484,16.2135715484619,16.2542858123779,186796400,13.678261756897
"2012-02-03","2012-02-03",16.3321437835693,16.4285717010498,16.2700004577637,16.417142868042,286599600,13.8153095245361
"2012-02-06","2012-02-06",16.3707141876221,16.6064281463623,16.3642864227295,16.5703563690186,249412800,13.944239616394
"2012-02-07","2012-02-07",16.6160717010498,16.7767868041992,16.5921421051025,16.7439289093018,316223600,14.0903062820435
"2012-02-08","2012-02-08",16.8035717010498,17.0282135009766,16.7749996185303,17.0242862701416,407890000,14.3262281417847
"2012-02-09","2012-02-09",17.1700000762939,17.7410717010498,17.1628570556641,17.6132144927979,884214800,14.8218221664429
"2012-02-10","2012-02-10",17.5342864990234,17.7721424102783,17.4482135772705,17.622142791748,631302000,14.8293352127075
"2012-02-13","2012-02-13",17.8403568267822,17.9939289093018,17.7532138824463,17.9500007629395,517216000,15.1052360534668
"2012-02-14","2012-02-14",18.0235710144043,18.1985702514648,17.9285717010498,18.1949996948242,460398400,15.3114109039307
"2012-02-15","2012-02-15",18.3664283752441,18.796070098877,17.7460708618164,17.7739295959473,1506120000,14.957067489624
"2012-02-16","2012-02-16",17.5535717010498,18.0317859649658,17.3796424865723,17.936071395874,944552000,15.0935096740723
"2012-02-17","2012-02-17",17.9682140350342,18.1346435546875,17.8678569793701,17.9328575134277,535805200,15.0908107757568
"2012-02-21","2012-02-21",18.1028575897217,18.3875007629395,18.0042858123779,18.3875007629395,605595200,15.4733943939209
"2012-02-22","2012-02-22",18.3242855072021,18.4103565216064,18.1810703277588,18.3228569030762,483302400,15.4190006256104
"2012-02-23","2012-02-23",18.3957138061523,18.4939289093018,18.1964282989502,18.4424991607666,568027600,15.5196838378906
"2012-02-24","2012-02-24",18.559642791748,18.6749992370605,18.5228576660156,18.6574993133545,415072000,15.7006120681763
"2012-02-27","2012-02-27",18.6182136535645,18.875,18.4385719299316,18.7771434783936,547582000,15.8012895584106
"2012-02-28","2012-02-28",18.8557147979736,19.1217861175537,18.7803573608398,19.1217861175537,600387200,16.0913105010986
"2012-02-29","2012-02-29",19.3414287567139,19.5575008392334,19.1321430206299,19.3728561401367,952011200,16.3025951385498
"2012-03-01","2012-03-01",19.5774993896484,19.578929901123,19.2417850494385,19.4453563690186,683270000,16.3636035919189
"2012-03-02","2012-03-02",19.4371433258057,19.5285701751709,19.3757133483887,19.4707145690918,431712400,16.3849468231201
"2012-03-05","2012-03-05",19.4792861938477,19.5528564453125,18.7857131958008,19.0414295196533,809124400,16.0236949920654
"2012-03-06","2012-03-06",18.7021427154541,19.0603561401367,18.4364280700684,18.9378566741943,810238800,15.9365320205688
