"Index","GDAXI.Adjusted"
"2006-01-02","2006-01-02",5449.97998046875
"2006-01-03","2006-01-03",5460.68017578125
"2006-01-04","2006-01-04",5523.6201171875
"2006-01-05","2006-01-05",5516.52978515625
"2006-01-06","2006-01-06",5536.31982421875
"2006-01-09","2006-01-09",5537.10986328125
"2006-01-10","2006-01-10",5494.7099609375
"2006-01-11","2006-01-11",5532.89013671875
"2006-01-12","2006-01-12",5542.1298828125
"2006-01-13","2006-01-13",5483.08984375
"2006-01-16","2006-01-16",5514.64013671875
"2006-01-17","2006-01-17",5460.16015625
"2006-01-18","2006-01-18",5395.60986328125
"2006-01-19","2006-01-19",5430.83984375
"2006-01-20","2006-01-20",5349.02001953125
"2006-01-23","2006-01-23",5348.72021484375
"2006-01-24","2006-01-24",5334.2998046875
"2006-01-25","2006-01-25",5427.08984375
"2006-01-26","2006-01-26",5548.91015625
"2006-01-27","2006-01-27",5647.419921875
"2006-01-30","2006-01-30",5660.02978515625
"2006-01-31","2006-01-31",5674.14990234375
"2006-02-01","2006-02-01",5726.52978515625
"2006-02-02","2006-02-02",5649.60009765625
"2006-02-03","2006-02-03",5657.1201171875
"2006-02-06","2006-02-06",5666.77978515625
"2006-02-07","2006-02-07",5672.919921875
"2006-02-08","2006-02-08",5666.41015625
"2006-02-09","2006-02-09",5743.68017578125
"2006-02-10","2006-02-10",5701.47021484375
"2006-02-13","2006-02-13",5756.330078125
"2006-02-14","2006-02-14",5763.39990234375
"2006-02-15","2006-02-15",5764.3701171875
"2006-02-16","2006-02-16",5789.25
"2006-02-17","2006-02-17",5795.47998046875
"2006-02-20","2006-02-20",5793.9501953125
"2006-02-21","2006-02-21",5801.0400390625
"2006-02-22","2006-02-22",5862.06005859375
"2006-02-23","2006-02-23",5857.8798828125
"2006-02-24","2006-02-24",5870.7900390625
"2006-02-27","2006-02-27",5915.14990234375
"2006-02-28","2006-02-28",5796.0400390625
"2006-03-01","2006-03-01",5866.60986328125
"2006-03-02","2006-03-02",5783.490234375
"2006-03-03","2006-03-03",5721.4599609375
"2006-03-06","2006-03-06",5754.06005859375
"2006-03-07","2006-03-07",5739.27978515625
"2006-03-08","2006-03-08",5673.35986328125
"2006-03-09","2006-03-09",5732.22021484375
"2006-03-10","2006-03-10",5804.919921875
"2006-03-13","2006-03-13",5855.16015625
"2006-03-14","2006-03-14",5870.8798828125
"2006-03-15","2006-03-15",5898.47998046875
"2006-03-16","2006-03-16",5897.7900390625
"2006-03-17","2006-03-17",5882.3798828125
